"eco_id","eco_name"
283,"Taiwan subtropical evergreen forests"
843,"Taklimakan desert"
506,"Talamancan montane forests"
436,"Tamaulipan matorral"
437,"Tamaulipan mezquital"
507,"Tapajós-Xingu moist forests"
684,"Tarim Basin deciduous forests and steppe"
177,"Tasmanian Central Highland forests"
178,"Tasmanian temperate forests"
179,"Tasmanian temperate rain forests"
610,"Tehuacán Valley matorral"
284,"Tenasserim-South Thailand semi-evergreen rain forests"
311,"Terai-Duar savanna and grasslands"
401,"Texas blackland prairies"
318,"Thar desert"
740,"Tian Shan foothill arid steppe"
709,"Tian Shan montane conifer forests"
767,"Tian Shan montane steppe and meadows"
844,"Tibesti-Jebel Uweinat montane xeric woodlands"
768,"Tibetan Plateau alpine shrublands and meadows"
747,"Tigris-Euphrates alluvial salt marsh"
166,"Timor and Wetar deciduous forests"
215,"Tirari-Sturt stony desert"
631,"Tongan tropical moist forests"
286,"Tonle Sap-Mekong peat swamp forests"
285,"Tonle Sap freshwater swamp forests"
421,"Torngat Mountain tundra"
782,"Trans-Baikal Bald Mountain tundra"
718,"Trans-Baikal conifer forests"
559,"Trans-Mexican Volcanic Belt pine-oak forests"
188,"Trans Fly savanna and grasslands"
134,"Transantarctic Mountains tundra"
510,"Trinidad and Tobago moist forest"
68,"Tristan Da Cunha-Gough Islands shrub and grasslands"
158,"Trobriand Islands rain forests"
632,"Tuamotu tropical moist forests"
633,"Tubuai tropical moist forests"
549,"Tumbes-Piura dry forests"
806,"Tyrrhenian-Adriatic sclerophyllous and mixed forests"
511,"Uatumã-Trombetas moist forests"
512,"Ucayali moist forests"
287,"Upper Gangetic Plains moist deciduous forests"
343,"Upper Midwest US forest-savanna transition"
719,"Urals montane forest and taiga"
574,"Uruguayan savanna"
685,"Ussuri broadleaf and mixed forests"
563,"Valdivian temperate forests"
159,"Vanuatu rain forests"
513,"Venezuelan Andes montane forests"
550,"Veracruz dry forests"
514,"Veracruz moist forests"
515,"Veracruz montane forests"
189,"Victoria Plains tropical savanna"
161,"Vogelkop-Aru lowland rain forests"
160,"Vogelkop montane rain forests"
368,"Wasatch and Uinta montane forests"
383,"Watson Highlands taiga"
845,"West Sahara desert"
846,"West Saharan montane xeric woodlands"
720,"West Siberian taiga"
62,"West Sudanian savanna"
216,"Western Australian Mulga shrublands"
29,"Western Congolian swamp forests"
516,"Western Ecuador moist forests"
686,"Western European broadleaf forests"
344,"Western Great Lakes forests"
30,"Western Guinean lowland forests"
